"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
"Bad Kreuznach, HRA 3240"
"Bairro Alto, Ola Lisboa | 21075"
"Barbara Trumpf, Schaustellerbetriebe | 28203"
"Bauer, Gabriele und Duft&Flair e.K. Inh. G.Bauer | 06242"
"Beer Michael, LuF | 92358"
"Bernhard Gövert, Landwirtschaft | 48249"
"Besondere Klerikalseminarstiftung St. Jakob, Betrieb gewerblicher Art Bildungshaus Johannisthal | 93047"
"Beudels, Georg | 47918"
"Binghong Zhou, Hotel Neuwirt | 82054"
"Bischöfliche Klerikalstiftung St.Wolfgang, Betrieb Gewerblicher Art Bildungshaus Werdenfels | 93047"
"Bischöflicher Stuhl von Regensburg, Betrieb Gewerblicher Art Bildungshaus Spindlhof | 93047"
"Bistro Santana, Inh. Argjend Bektesi | 53842"
"Bistum Erfurt, Bildungshaus St. Ursula | 99084"
"Bonn, HRB 6709"
"Bonn, HRB 6735"
"Bories, Andre -  Bodystreet Kassel | 34117"
"Bormuth, Olaf | 64686"
"Breipohl, Fred | 33609"
"Brettschneider,Struck&Piechotta GbR - Donner Bar | 22769"
"Brotzeit & Spiele, Wolfgang Ramdana | 82057"
"burger BRO, Inh. Idris Sala | 20095"
"Cafe Bistro NES, Hopfenquelle | 21033"
"Café im Park, Inh. Stephanie Naber | 94315"
"Cakirbay, Ibrahim | 81549"
"Canvero Geschäfte, Inh. Zahra Khanafer | 24848"
"Carlo Santamaria, Boccone | 22587"
"Carsten Wittke, Clever Fit | 35745"
"CCS-Catering, Consulting und Service GmbH | 99091"
"Cheko & Friedrich GbR, Restaurant Buena Vida Havanna | 53111"
"Chen, Zhou Ming - Asia Palast - | 40764"
"Christian Schwuchow, Geograf Exkursionen | 61267"
"clever fit Neugraben, Niendorf, Bahia Wax | 21149"
"Club, Taverne,Schwejk | 60327"
"Dannert Catering, Spitalkeller | 93059"
"Darmstadt, HRB 103305"
"Das Lokal, Alexander Sarac | 65195"
"Daum Martin, LuF | 92334"
"DE290479444, DE270563925, DE253970526"
"Deng, Kaewsalee & Hong GbR | 84028"
"Dieter Hauk Spielhallen und Automatenservice, Gaststätte | 97688"
"Discothek Vulcano, Discothek Revolution, Erlebnispark Geiersthal, Hotel Adam-Bräu e.K. | 94255"
"Diskotheken Monkeys, Hinz und Kunz, Hilde Inh. Maritta Müller | 96450"
"Diözesanrat der Katholiken im Erzbistum Köln e.V., Köln, Antrag für Thomas Morus Akademie, Bensberg | 51429"
"Diözese Augsburg KdöR, Diözesan-Exerzitienhaus Sankt Paulus Leitershofen | 86150"
"Diözese Augsburg KdöR, Diözesan-Exerzitienhaus Sankt Paulus Leitershofen | 86152"
"Diözese Augsburg KdöR, Tagungshotel Haus Sankt Ulrich | 86152"
"Diözese Augsburg, Körperschaft des öffentlichen Rechts | 86152"
"Diözese Eichstätt KdöR, Jugendhaus Schloss Pfünz Tagungshaus der Diözese Eichstätt | 85072"
"Diözese Eichstätt KdöR, Schloss Hirschberg Tagungshais der Diözese Eichstätt | 85072"
"Diözese Eichstätt KdöR, Schloss Hirschberg Tagungshaus der Diözese Eichstätt | 85072"
"Diözese Eichstätt KödR, Schloss Hirschberg Tagungshaus der Diözese Eichstätt | 85072"
"Dos Santos Brito, Luiz | 53721"
"Dr. Anton Pieper eK, Inh. Johannes Pieper | 59227"
"Dr. Zorn, Heinz Günter | 52062"
"Draht,  Wolfram | 06628"
"Dresden, GnR252"
"Dressen, Marvin | 41069"
"Egzona Musliu, Ratscafe | 87435"
"Eickel Christian, Simssee-Stuben | 83139"
"El-Kanj, El Guennouni, Stürmer und Klasen GBR Brauhaus am Caracciola-Platz | 53424"
"Engelbrecht Günther, Landwirtschaft mit Schweinen | 95473"
"entfällt , da Einzelunternehmen"
"Erich Brackmeyer Automaten, Inh. Konrad-Albert Schumacher | 33330"
"Erkencioglu, Edis | 81739"
"Erzbistum Hamburg, Haus St. Ansgar, Schmillinskystraße 78, 20099 Hamburg | 20099"
"Exclusive Fitnesstraining Hodyas, Paulus und Schmidt | 66849"
"Fachärzte Rhein-Main Dr. Brüning & Kollegen, ÜBAG | 63500"
"Faun Gaststätte, Mark Altner GbR | 80469"
"Fisherman, Scampi & Friends | 21465"
"Fit Plus Bad Doberan und Bützow, Minigolf | 18236"
"Flensburg, HRA 1324"
"Fulda, HRA 5149"
"Fürth, HRA 6496"
"Gabi Steinker, Schaustellerbetrieb | 86165"
"Gartz Landwirtschaft, Gartz KG und TGM KG | 41751"
"Gashi & Vrenezi GbR, Restaurant Cafe Blue | 81371"
"Gasthaus Hirsch, Landwirtschaft, Ferienhof Gött | 87466"
"Gasthaus Kreft, Inh. Heinrich Kreft | 32479"
"Gaststätte Hüttn, Inh. Udo Deppisch | 90403"
"Gaststätte Pinoy, Restaurante La Rosa | 20359"
"GbR Udo, Petra und Andreas Kornmann | 36329"
"Geltenpoth, Vanessa | 53902"
"Gen.-Reg. Nr.: 100002, Amtsgericht Osnabrück"
"Gerd-Holling, Christoph | 48351"
"Gillmeister Enterprises, Inh. Marco Gillmeister | 17033"
"GmbH Amtsgericht Stuttgart, HRB 763028"
"Greco, Salvatore | 51467"
"Groove Bar & Lounge, George Schindler | 51147"
"Gutshof Wellenbad, Inh. Lars Weinhold | 58239"
"Gutsverwaltung, LuF, PV Anlage | 84307"
"Gündogan, Irfan | 22309"
"Günter, Christian & Brigitte Uhse GbR | 28207"
"Ha Thi Thanh, Nailsdeluxe | 81737"
"Hamm, HRB 6396"
"Hanau, HRA 93326"
"Handelsregister Dresden, HRA 9995"
"Hannover, HRA 17494"
"Hans, Anton & Max Wiedemann GbR | 85250"
"Harald und Sandra Wörner GbR, Schlosshotel | 97357"
"Harald, Bettina und Edmund Endres GbR | 84034"
"Harlfinger Antje, Sonnenhang | 87466"
"Harput ET Restaurant, Inh. Hüseyin Duran | 65183"
"Haupt-Automaten,Inh.Claus Stoica | 85540"
"Heckers – Restaurant, Café, Bar | 63584"
"Hefe van Haag GmbH & Co. KG, Sitz Kempen, AG Krefeld HRA 4681"
"Heidingsfelder, Intersport | 53879"
"Hellmering, Köhne & Co. GmbH & Co. KG | 28217"
"Helmut Dölle, Inh. Sabine Dölle | 90765"
"Helmut Fleige Gewerbl. Schweinemast, Helmut Fleige GbR, SBV, PV | 48720"
"Hiristo, Daniel Hirschler | 86899"
"Hof Elsenmann, Inh. Detlef Behle | 34497"
"Hohmann, Jörg | 61352"
"Hotel Adam-Bräu e. K., Discothek Vulcano, Discothek Revolution, Erlebnispark Geiersthal | 94255"
"Hotel Alpenglühn, Stephanie Kössel | 87629"
"Hotel Avenue, Inh. Stefan Hrabal | 90403"
"Hotel Carstens, Inh. Petra Carstens | 24582"
"Hotel Engel, Schmiedekamp und Riedle | 55543"
"Hotel Krone, Hotel Stern | 56348"
"Hotel Lahnblick, Inh. Mike Mescheder | 57334"
"Hotel Papen Änne, Inh. Jasmin Rubel | 34128"
"Hotel Rialto ,Villa Venezia Trierweiler, Villa Venezia GmbH | 66740"
"Hotel Stiftswingert, Inh. Ursula Limpert | 55131"
"Hotel Vogelsang, Inh. Denis Vogelsang | 97225"
"Hotel Weigels Bergfreiheit, Inh. Thomas Weigel | 59955"
"Hotel Wieseneck, Inh. Jürgen Herrmann | 38486"
"Hotel Xenia, Inh. Yung Hong Hu | 24937"
"Hotel zum alten Schloss, Inh. Hans Heberlein e.K. | 91241"
"Hotel zur Altstadt, Inhaber Marco Sorgi | 57258"
"Hotel, Restaurant Zehntkeller | 97346"
"Hotel, Restaurant Zehntkeller, Weingut | 97346"
"HR 40970, Amtsgericht Mainz"
"HR A 10378, Registergericht Traunstein"
"HR Köln, Nr. 73432"
"HRA  3386, Amtsgericht Coburg"
"HRA  Neubrandenburg, 1581"
"HRA 1074, Amtsgericht Eschwege"
"HRA 110363, Amtsgericht Hildesheim"
"HRA 1458, Amtsgericht Korbach"
"HRA 14671, Amtsgericht Wuppertal - Handelsregister -"
"HRA 15112, Amtsgericht Kassel"
"HRA 17733, Amtsgericht Kassel"
"HRA 18261, Dortmund"
"HRA 202825, Amtsgericht Tosted"
"HRA 20854, AG Bad Kreuznach"
"HRA 3386, Amtsgericht Coburg"
"HRA 4187, Amtsgericht Marburg"
"HRA 4325, Amtsgericht Kempten"
"HRA 4772, Amtsgericht Marburg"
"HRA 4932, Amtsgericht Gießen"
"HRA 502760, Amtsgericht Jena"
"HRA 53245, Amtsgericht München"
"HRA 6058, Amtsgericht Fulda"
"HRA 6317, Amtsgericht Fulda"
"HRA 704724, Freiburg"
"HRA 7151, Amtsgericht Regensburg"
"HRA 7924, Amtsgericht Wetzlar"
"HRA 7976, Amtsgericht Wetzlar"
"HRA 815, AG Potsdam"
"HRA 88537, München"
"HRA 9513, Bonn"
"HRB 101821, Düsseldorf"
"HRB 103314, Darmstadt"
"HRB 103604, 103620, 103602"
"HRB 10403, Amtsgericht Gießen"
"HRB 10433, Amtsgericht Koblenz"
"HRB 10714, Bad Homburg"
"HRB 107315, Mannheim"
"HRB 108407, Saarbrücken"
"HRB 10856, Mainz"
"HRB 109578, Saarbrücken"
"HRB 10999, AG Bad Kreuznach"
"HRB 112592, AG Frankfurt am Main"
"HRB 11284, AG Königstein im Taunus"
"HRB 113460, AG Frankfurt"
"HRB 11432, Amtsgericht Schwerin"
"HRB 114337, AG Frankfurt am Main"
"HRB 115389, AG Frankfurt am Main"
"HRB 115754, AG Frankfurt"
"HRB 11687, Essen"
"HRB 12477, AG Wittlich"
"HRB 126492, München"
"HRB 12698, HRB 12911, HRB 15196"
"HRB 128012, AG Frankfurt"
"HRB 128891, AG Frankfurt am Main"
"HRB 131012, Frankfurt am Main"
"HRB 13710, Augsburg"
"HRB 14000, Stuttgart"
"HRB 14515, Memmingen"
"HRB 146499, Berlin (Charlottenburg)"
"HRB 14901, Würzburg"
"HRB 151732 B, Berlin"
"HRB 16424, Würzburg"
"HRB 166156, Hamburg"
"HRB 171725, München"
"HRB 1732, Zweibrücken"
"HRB 17621, Aachen"
"HRB 17715, Amtsgericht Traunstein"
"HRB 183078, Amtsgericht München"
"HRB 183851, Berlin (Charlottenburg)"
"HRB 186928, München"
"HRB 187510, München"
"HRB 190512, Berlin"
"HRB 194695 B, Berlin"
"HRB 20042, Bochum"
"HRB 202579, Aurich"
"HRB 203283, AG Hildesheim"
"HRB 2085, AG Bochum"
"HRB 208500, Braunschweig"
"HRB 209860, Jena"
"HRB 2113, Amtsgericht Marburg (BsG)"
"HRB 21280 B, Berlin (Charlottenburg)"
"HRB 222221, Berlin (Charlottenburg)"
"HRB 237529, Berlin"
"HRB 241272, München"
"HRB 2415, Amtsgericht Wetzlar"
"HRB 24849, AG Duisburg"
"HRB 252099, Berlin"
"HRB 252388, Berlin (Charlottenburg)"
"HRB 255242, Berlin (Charlottenburg)"
"HRB 25584, Augsburg"
"HRB 26019, Amtsgericht Koblenz"
"HRB 2626 , Amtsgericht Dresden"
"HRB 2626, Amtsgericht Dresden"
"HRB 271165, München"
"HRB 27459, Handelsregister B des Amtsgerichts München"
"HRB 274597, Handelsregister B des Amtsgerichts München"
"HRB 280228, München"
"HRB 2804 (BtG), HRB 6872 (BsG)"
"HRB 282884, München"
"HRB 2906, Amtsgericht Fulda"
"HRB 30645, AG Kaiserslautern"
"HRB 3110, Amtsgericht Gießen"
"HRB 31218, Essen"
"HRB 32504, AG Chemnitz"
"HRB 33239, Kaiserslautern"
"HRB 370336,  Amtsgericht Freiburg i. Breisgau"
"HRB 381782, Freiburg im Breisgau"
"HRB 3894, Amtsgericht Friedberg"
"HRB 40457, Dresden"
"HRB 41, AG Koblenz"
"HRB 41, Amtsgericht Koblenz"
"HRB 41494, Leipzig"
"HRB 41509, Amtsgericht Mainz"
"HRB 4360, Paderborn"
"HRB 4392, Amtsgericht Koblenz"
"HRB 44264, Dresden"
"HRB 4619, München"
"HRB 47606, Amtsgericht Mainz"
"HRB 48884, Mainz"
"HRB 508155, Jena"
"HRB 51135, Köln"
"HRB 5139, Aachen"
"HRB 5157, Amtsgericht Marburg"
"HRB 516359, Jena"
"HRB 5229, Deggendorf"
"HRB 52645, Köln"
"HRB 5403, Amtsgericht Gießen"
"HRB 54169, AG Köln"
"HRB 55490, Frankfurt am Main"
"HRB 57 1427, Stuttgart"
"HRB 5756, Amtsgericht Marburg"
"HRB 5992, Kiel"
"HRB 6473, Amtsgericht Neuss, Sitz Neuss"
"HRB 65657, Ludwigshafen a. Rhein"
"HRB 6684, München"
"HRB 6876, Amtsgericht Kassel"
"HRB 6921, Amtsgericht Kleve"
"HRB 70764, Charlottenburg (Berlin)"
"HRB 722618, Freiburg"
"HRB 728000, Stuttgart"
"HRB 731132, Mannheim"
"HRB 741496, Mannheim"
"HRB 7441, Amtsgericht Würzburg"
"HRB 75534, München"
"HRB 758070, Stuttgart"
"HRB 759245, Stuttgart"
"HRB 760772, Stuttgart"
"HRB 76144, München"
"HRB 767000, Stuttgart"
"HRB 773941, Amtsgericht Stuttgart"
"HRB 78707, Frankfurt am Main"
"HRB 795618, Amtsgericht Stuttgart"
"HRB 8024, Amtsgericht Fritzlar"
"HRB 8407, Amtsgericht Gießen"
"HRB 84865, Hamburg"
"HRB 8645, Augsburg"
"HRB 8738, AG Memmingen"
"HRB 8817, Paderborn"
"HRB 8832, Amtsgericht Gießen"
"HRB 884, 63145, 104882, 105044"
"HRB 8961, Lemgo"
"HRB 9030, Amtsgericht Steinfurt"
"HRB 91868 B, Berlin"
"HRB 95191, Darmstadt"
"HRB 9524, Ingolstadt"
"HRB 95717, AG Darmstadt"
"HRB 96110, Berlin"
"HRB 97404, Düsseldorf"
"HRB 98185, AG Darmstadt"
"HRB 98238, München"
"HRB 991, AG Frankfurt Oder"
"HRB 99338, AG Darmstadt"
"HRB München, Registernummer 158325"
"HRB. Nr. 2708, Amtsgericht Wuppertal"
"HRB128606, Amtsgericht Hamburg"
"HRB32512, AG Zweibrücken"
"Hubertus Trott, Studio24 | 36142"
"Hüseyin Celik, Restaurant Pardi | 80634"
"Imkemeyer, Stüve und Wagemann GbR - Hotel Grünwalde - | 33790"
"Imlau 2play Spielwaren und Modellbau, Inh. Frank Imlau | 24941"
"Ingolstadt, HRB 101563"
"INJOY, Thomas Glaser e.K. | 67105"
"Jacob, Madeleine | 63584"
"Jakob & Jakob GbR, Trattoria da Anna | 66606"
"Jan Budde, Vermietung von Ferienwohnungen und Handel damit | 25462"
"Jena, HRB 507181"
"Jordan, Mark | 44137"
"Jutta Hinrichsen, Haus Jensen | 25938"
"K. & V. Gastro GbR, Hotel Münchener Hof | 60329"
"Kahmen, Jörg | 33165"
"Kaisersaal, Inh. Arno Borcherding | 32427"
"Kakkar,Rajeef & Mehra, Krischan GbR | 65795"
"Kaneh, Ahmad Farid | 63065"
"keine Eintragung, da Einzelunternehmen"
"Kempten, HRB 2348"
"Khalaj Ghazviny, Ali | 50676"
"Kilian, Hans-Werner Sonderpostenmärkte - Dollar-Hugo | 35708"
"Kindermann, Gaida, Cieslok, Hechler GbR | 67316"
"Kinocenter Regen, Kaufmann Thomas | 94209"
"Kirchengemeinde ist kein Wirtschaftsbetrieb, daher weder im Handelsregister eingetragen noch zur Umsatzsteuer veranlagt"
"Kleve, HRB 9410"
"Kluge, Sascha | 06112"
"Kopocz, Christian | 06542"
"Kost-Bar, Inh. Fexhri Papenbrock | 44627"
"Kugler, Christian | 80538"
"Köln, VR 5447"
"Küffner Ingrid, Gartenbau | 93059"
"Landeshauptstadt Kiel, Kieler Bäder | 24103"
"Landeskirchenamt der EKM, KdöR, Eigenbetrieb Tagungs- und B., Betriebsstätte Tagungs- und Begegnungsstätte Evangelisches Augustinerkloster zu Erfurt | 99084"
"Landeskirchenamt der EKM, KdöR, Eigenbetrieb Tagungs- und B., Betriebsstätte Tagungs- und Begegnungsstätte Evangelisches Zentrum Kloster Drübeck | 99084"
"Landhaus Kössel, Peter Kössel | 87629"
"Landhaus Ohlstedt, Inh. Joscha Weggenmann | 22397"
"Landshut, HRB 10990"
"Leung, Ka-Chu | 53175"
"Limberry, Trüffelschwein | 40597"
"Lingen, Automaten | 59969"
"Linzer, Günter | 99098"
"Lukas Kaczmarczyk, Bar Kosmos St. Liderlich | 22767"
"Lunetta, Calogera | 66111"
"LUUC Café Deli Wein, Sarah Müller | 66130"
"Lux GbR, Volker und Claus-Wilhelm | 34582"
"Lütticke, Martin | 57489"
"M.Sc., M.Sc. Arshia Jafari und Partner GbR - Gemeinschaftspraxis | 64832"
"M.Sc.,M.Sc. Arshia Jafari und Partner GbR - Gemeinschaftspraxis | 64832"
"Maier Gabriele, -beim Hirsche- | 84453"
"Mainzplus Citymarketing GmbH, Bereich Congress | 55116"
"Mainzplus Citymarketing GmbH, Bereich Kultur | 55116"
"mampap Werbeagentur, Sebastian Zele | 84030"
"Manhattan Cocktailbar, Club Soho Inh. Omar Nasser | 66130"
"Manufaktur zum Ritter, Inh. Jonas Sporer | 36037"
"Manula, Inh. Anil Er | 61169"
"Marienthaler Gasthof, Inh. Jutta Stöfken | 46499"
"MARMARIS, Inh. Mine Uzun | 45711"
"Maroccan & Lebanese Food, Skyline Plaza | 60327"
"Martin Jellinghaus, McDonald's Restaurant | 51643"
"Marx, Spang und Wagner GbR | 66901"
"Maurizio Niglia, Pizzeria La Tropea | 66117"
"Meer Josef, Landwirtschaft Gärtnerei Blumeneinzelhandel | 91244"
"Meyer, Antonius | 59590"
"Michael Schmid, Pension Hörnerblick | 87527"
"Miu Beauty Lounge, Passau | 94032"
"Mobility Center GmbH, Amtsgericht Leipzig, HRB 32197"
"Morteza Kazemi, C´est la vie | 21031"
"MVZ Dres. med. Pleye, Lüders, Herrera | 48149"
"Müller, Peter | 06667"
"Münster, HRB 16559"
"Nasir, Yasir Ahmad | 65824"
"Nguyen van Doan, Cocos Asia Imbiss | 80993"
"Nölle, | 59519"
"Oldenburg, HRA 206007"
"Oldsen, Jens | 25899"
"Oliveira Rodrigues, Maria Teresa | 21521"
"Pak, Nurettin | 50825"
"Patrick Barth, Imbiss | 67346"
"Patrick Kharadi, Verleih | 20355"
"Pauer Casrten, Schwarzer Hahn | 81541"
"Paulaner Botschaft, Inhaber Uwe Bewer | 44787"
"Peter Rau, Besitzunternehmen | 59063"
"Peter Singer, Imbiss | 84561"
"Peter Singer, Imbissbetrieb | 84561"
"Peters, Karl-Rainer | 50129"
"Petra Reuter, Hotel Vintage | 56253"
"Philipp Meeß, Schaustellerbetrieb | 86153"
"Phönix-Hotel  Schäfereck und Seeblick Wismar, Alter Speicher Lübeck | 23970"
"Phönix-Hotels Schäfereck und Seeblick Wismar, Alter Speicher Lübeck | 23970"
"Piran Nourbakhsch, Besitzunternehmen | 59757"
"Ralph & Manuel Hüttl GbR, Taxiunternehmen Alpha Taxi | 63741"
"RBH Raum,- Boden,- Hausreinigungs Gmbh | 81539"
"RBH Raum,- Boden,- Hausreinigungs | 81539"
"RBH Raum,-Boden,-Hausreinigungs | 81539"
"Registergericht Bonn, HRA 5493"
"Registergericht Bonn, HRB 13476"
"Registergericht Dresden, HRA 7256"
"Registergericht Mannheim, Nr. HRB 511085"
"Registergericht Mannheim, Nr. HRB 511185"
"Registergericht Ulm, HRB 729203"
"Reisebüro Heringhaus Horst G. Heringhaus, Inh. Michael Heringhaus | 58256"
"Reisebüro, Lotto, Zeitschriften, Tabak | 44651"
"Renner, Lazzaretti u. a. GbR | 99094"
"Restaurant Dionysos, Inh. Leonidas Sotiriou | 24943"
"Restaurant Eckstein, Inh. Tigran Sahakyan | 20259"
"Restaurant Essence-Bistro Finesse, Inh. Daniel Roch | 81245"
"Restaurant Korfu, Inh. Aphrodite Komini | 87700"
"Restaurant Lavastein, Inh. Jagdish Singh | 34134"
"Restaurant Layali, Inh. Furat Salam Abbas | 40223"
"Restaurant Schwarzes Schaf, Inh. Frank Storm | 57076"
"Restaurant Sefa, Inh. Martin Riedel | 66571"
"Restaurant Vörn Diek, Inh. N. Gerth | 23747"
"RG München, NR Nr.: B-5448"
